category,Questions,Tags
intro,Please introduce youself,0
intro,please tell me about yourself,0
intro,hi! Tell me something about yourself,0
intro,hey how is it going! Please tell me some thing about yourself,0
intro,hi there please feel free to tell me about yourself now,0
intro,Tell me about yourself,0
intro,hey man what is going on please tell me about yourself,0
intro,please introduce yourself. Hey man whats up!,0
intro,please start by telling me about yourself first,0
intro,lets start by talking about your self first shall we,0
intro,and what was your name again?,0
intro,hows it going please tell me something about yourself,0
intro,first lets talk aout yourself first shall we,0
intro,hey ho hi would you rather start by introducing yourself and telling me your name and about yourself,0
intro,plese introduce yourself first ,0
intro,first please would you introduce yourself,0
intro,What can you tell me about yourself?,0
intro,please introduce yourself by telling me your name,0
intro,what is your name ,0
intro,ok then now please introduce yourself,0
intro,can you start by telling me your name,0
intro,can you please start by telling me about your name and a little about yourself,0
intro,I implore thee to please tell me about thee,0
intro,anyways tell me a lil about yourself,0
intro,oh I meant please tell me about yourself,0
intro,"hey ho hi, please tell me about thyself and please start with your name",0
intro,"please tell me about your personal self, I implore thee, I request thee",0
intro,please tell me your name,0
intro ,can you start by tell me about yourself,0
intro,"thanks for participating, now could you please tell me about yourself",0
intro,anyways tell me about your personal self a little bit,0
intro,Lets talk about you,0
intro,talk about your kindself please,0
intro,what can you tell me about your kind self,0
intro,Talk about yourself,0
intro,I want to know about you so please tell me about you,0
intro,"Lets talk about you, so give me your introduction.",0
intro,I beseech you to talk about yourself a little bit,0
intro,hey man. How is it going? Tell me about yourself,0
intro,Could you tell me about yourself,0
intro,what would you like me to know about you,0
intro,I beseech you to give me your background,0
intro,what's your background,0
intro,give me a little background on your self,0
intro,Give me a little background on yourself.,0
intro,Give me some information about yourself.,0
intro,Give me some background on yourself.,0
intro,what can you tell me about yourself when it comes to an introduction,0
intro,tell a maine about yourself cmon now,0
intro,Lets talk about you shall we?,0
intro,I would like to know you more!,0
intro,I would like know more about you so please tell me about yourself.,0
intro,please talk about your kind self please,0
intro,lets start by talking about your kindself please shall we,0
immigrate_reas,What motivated you to immigrate?,1
immigrate_reas,what caused you to immigrate,1
immigrate_reas,what led to your immigration,1
immigrate_reas,please give me an insight into as to why you moved out of your country ,1
immigrate_reas,what caused you to migrate,1
immigrate_reas,I bessech you to tell me the reason behind your migration,1
immigrate_reas,what was the reason behind your migration,1
immigrate_reas,what led you to migrate outta your country,1
immigrate_reas,what caused you to move out and migrate to here,1
immigrate_reas,I beseech you to tell me why you relocated to here,1
immigrate_reas,what was the reason behind you migrating ,1
immigrate_reas,tell me about why you moved out here,1
immigrate_reas,what was your cause behind leaving your country,1
immigrate_reas,so why did you come to the states woman,1
immigrate_reas,so why did you choose to come to this nation,1
immigrate_reas,what made you choose this nation and why did you immigrate here,1
immigrate_reas,so why did you move to the united states,1
immigrate_reas,what prompted you to migrate you to US,1
immigrate_reas,why did you move here to the US,1
immigrate_reas,why did you move to here,1
immigrate_reas,what caused you to move out of your motherland to here,1
immigrate_reas,what caused you and your family to leave your mothercountry and come here,1
immigrate_reas,why did you move out here,1
immigrate_reas,what compelled you to immigrate,1
immigrate_reas,why did you all move,1
immigrate_reas,why did you all immigrate,1
immigrate_reas,what lead to your migration,1
immigrate_reas,what caused you to immigrate or what led to your migration,1
immigrate_reas,what prompted you to immigrate,1
immigrate_reas,Why did you immigrate?,1
immigrate_reas,Why did you move?,1
immigrate_reas,Why did you leave your country?,1
immigrate_reas,ok how about you tell me about your reason for immigration,1
immigrate_reas,ok how about you tell me about your reason for migration,1
immigrate_reas,Why did you come here?,1
immigrate_reas,What made you leave your country?,1
immigrate_reas,y did u leave your country,1
immigrate_reas,what was the reason behind your immigration,1
immigrate_reas,what was the reason behind your migration,1
immigrate_reas,oh I meant why did you leave your country,1
immigrate_reas,What made you immigrate?,1
immigrate_reas,What made you leave your previous country and come here?,1
immigrate_reas,Whats the reason behing you coming here?,1
immigrate_reas,Please explain the reason behind your immigration.,1
immigrate_reas,Please explain the reason behind your moving.,1
immigrate_reas,pls explain duh reason behind ur moving,1
immigrate_reas,Please explain the reason behind your relocation.,1
immigrate_reas,what called for a migration and a switch of coutries like this,1
family,Tell me about your family.,2
family,Talk to me about your family.,2
family,what can you tell me regarding your family,2
family,I want to know more about your family?,2
family,What about your family?,2
family,sure tell me about your family please,2
family,I beseech you to tell me about your family ,2
family,and tell me about your mother and father and your entire family,2
family,I implore you to tell me something about your family,2
family,what can you tell me about your family,2
family,id rather listen to you telling me about your family,2
family,whats good about the family ?,2
family,how about your tell me about your uncles and aunts and your grandparents,2
family ,come on now tell a man about your family,2
family,"how about now you tell me about your family - uncles, aunts and grandparents",2
family,give me some background on your family - your uncles and aunts and grand mother and grand father and your siblings,2
family,tell me something about your grandma and grandpa,2
family,How is your family?,2
family,oh I actually meant please tell me a little bit about your family,2
family,how about some info on your family - like your grandmother and grandfather,2
family,I am interested to know about your family,2
family,I am really very interested to know more about your family. Please tell me something,2
family,Give me some knowledge on your family.,2
family,Give me some background on your family.,2
family,"can you tell me about your family, parents, siblings",2
family,"I beseech you to tell me about your family now, parents, brothers and sisters",2
family,"please tell me about your family now - parents, siblings",2
family,I implore you to give me some info on your family and your parents and your siblings,2
family,ok now please tell me a little backgorund on your family,2
family,Let's talk about your family.,2
family,tell me something about your family,2
family,tell me about your family something ,2
family,I d rather listen to you talk about your family instead,2
family,"please tell me about your family - parents, grandparents, siblings, etc",2
family,"can you speak about your mom and dad, grandma and grandpa, and your siblings",2
family,tell me more about your family,2
family,Les talk about your family,2
family,Les talk boutta yo fam,2
family,Talk boutta yo family,2
family,whatcha say boutta yo fam?,2
family,what do you have to say about oyur family?,2
family,Tok boutta yo family,2
family,pleese tell me abt yo fam,2
family,what up with the fam,2
family,hwat is your family's deal brother,2
